epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3923.22,1.27085,0.65142,1.06642,0.91851,0.88641,0.94905,0.62482,1.23224,0.59594,1.05119,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4045.04,1.26893,0.65167,1.06906,0.91816,0.88892,0.9502,0.6265,1.22778,0.59027,1.04904,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4166.72,1.26793,0.65067,1.06747,0.91841,0.8941,0.95055,0.62738,1.2284,0.59057,1.0465,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4288.27,1.26892,0.64634,1.0662,0.92028,0.89133,0.95105,0.62777,1.22726,0.58877,1.04667,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4409.73,1.2618,0.6441,1.06619,0.92461,0.887,0.95065,0.62903,1.22682,0.58517,1.04703,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4531.47,1.25802,0.63994,1.06421,0.91944,0.88961,0.95056,0.63012,1.22268,0.58253,1.04569,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4652.89,1.25355,0.63682,1.06057,0.92176,0.8904,0.95157,0.6299,1.22413,0.57902,1.04597,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4774.63,1.25293,0.63611,1.06046,0.91921,0.89025,0.95091,0.62927,1.22494,0.58028,1.0437,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4896.05,1.25038,0.63396,1.06215,0.92012,0.89277,0.95185,0.63037,1.22422,0.57868,1.04379,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5017.84,1.24898,0.63204,1.05879,0.91959,0.89648,0.95203,0.63094,1.22381,0.57816,1.04385,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5139.38,1.24828,0.6299,1.05679,0.92228,0.89365,0.95186,0.63189,1.22149,0.57666,1.04255,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5260.93,1.24224,0.62534,1.05596,0.92075,0.8941,0.9525,0.63332,1.22093,0.57708,1.04246,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5382.36,1.24,0.62657,1.05366,0.92248,0.8941,0.95302,0.63399,1.22089,0.57633,1.04285,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5504,1.24053,0.62492,1.05548,0.92326,0.89152,0.95317,0.63413,1.22208,0.57775,1.04298,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5625.64,1.2363,0.62297,1.05178,0.9225,0.89437,0.95341,0.63459,1.2201,0.57709,1.04193,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5747.22,1.22993,0.61804,1.05032,0.9268,0.88907,0.95318,0.63462,1.21856,0.57578,1.04174,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5869.12,1.2356,0.6195,1.05391,0.91857,0.89592,0.95282,0.63452,1.21744,0.57568,1.04197,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5990.72,1.22562,0.6122,1.05315,0.92176,0.89389,0.95337,0.63444,1.21683,0.57391,1.04172,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6112.42,1.22871,0.61416,1.04853,0.92362,0.89277,0.95283,0.63449,1.21478,0.57214,1.04116,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6234.28,1.22432,0.61138,1.04849,0.92295,0.89477,0.95297,0.63462,1.21481,0.571,1.04096,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6355.85,1.22426,0.60964,1.04879,0.92482,0.89338,0.95316,0.63505,1.21526,0.56998,1.04059,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
